ImageNumber,ObjectNumber,Location_CenterMassIntensity_X_channels_split_Filtered,Location_CenterMassIntensity_Y_channels_split_Filtered,Location_Center_X,Location_Center_Y,Number_Object_Number,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_0_0,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_1_1,RadialDistribution_ZernikePhase_channels_split_Filtered_0_0,RadialDistribution_ZernikePhase_channels_split_Filtered_1_1
1,3290,681.41935483870964,466.93548387096774,680.81967213114751,467.70491803278691,3290,1.4758726093368453e-05,3.8304877634140608e-06,1.5707963267948966,-1.8237557889365068
1,3291,716.46478873239437,469.08450704225351,718.19708029197079,468.978102189781,3291,2.316698214433489e-05,8.7419951755947225e-06,1.5707963267948966,2.4998024013288909
1,3292,67.0,468.0,61.342857142857142,469.45714285714286,3292,2.1798602704490934e-07,2.0269480889224306e-07,1.5707963267948966,-0.24828990930306666
1,3293,77.659090909090907,476.84090909090907,78.106250000000003,472.14375000000001,3293,8.3924620412290093e-06,5.1359503328381097e-06,1.5707963267948966,1.48674282575523
1,3294,203.5,466.0,203.47999999999999,467.44,3294,6.1036087572574616e-07,2.2590469520874538e-07,1.5707963267948966,-1.2490457723982544
1,3295,316.0,469.5,314.93693693693695,469.45945945945948,3295,2.7493733140799375e-07,5.4413390900317591e-08,1.5707963267948966,0.69652398858433384
1,3296,408.39999999999998,470.19999999999999,408.39473684210526,468.93421052631578,3296,1.0038830192857666e-06,2.580259580367321e-07,1.5707963267948966,1.2860658882721883
1,3297,428.94117647058823,469.29411764705884,428.28703703703701,469.28703703703701,3297,2.4018830757726122e-06,4.9928849696251341e-07,1.5707963267948966,0.70276548848989251
1,3298,445.16666666666669,468.16666666666669,444.50877192982455,467.50877192982455,3298,1.6062128308572267e-06,4.361360359639515e-07,1.5707963267948966,1.0121970114513246
1,3299,645.48630136986299,474.80136986301369,646.21198156682033,474.79262672811058,3299,1.0266438693082826e-05,2.1310101924579028e-06,1.5707963267948966,-2.6966447348450751
1,3300,8.0,472.33333333333331,9.3461538461538467,470.94230769230768,3300,8.8032818614290307e-07,3.6157713685081619e-07,1.5707963267948966,2.0528750281898001
1,3301,224.66666666666666,470.46666666666664,223.87,470.44999999999999,3301,2.2888532839715479e-06,3.5093128312757605e-07,1.5707963267948966,-1.3193584640200198
1,3302,304.74074074074076,469.62962962962962,309.14285714285717,474.90259740259739,3302,2.6752830591875239e-06,1.5796964703366581e-06,1.5707963267948966,-2.1815222911841055
1,3303,655.89090909090908,473.96363636363634,656.78911564625855,472.91836734693879,3303,1.1106907092288237e-05,7.188780496713688e-07,1.5707963267948966,2.2467382220340295
1,3304,21.0,473.0,24.324999999999999,469.75,3304,7.6295109465718267e-07,6.3163562194658151e-07,1.5707963267948966,2.4468543773930902
1,3305,46.692307692307693,474.15384615384613,50.229999999999997,471.58999999999997,3305,3.9673456922173498e-06,2.3291486179839151e-06,1.5707963267948966,2.5329033462623816
1,3306,170.75,474.0,171.13274336283186,471.87610619469024,3306,5.401423678988904e-07,2.4896427842787852e-07,1.5707963267948966,2.0739156663917
1,3307,400.25,475.25,402.16071428571428,472.07142857142856,3307,1.0899301352245466e-06,7.0596506962984313e-07,1.5707963267948966,1.8345358184189811
